target,text
0,"I am late,so call you tomorrow morning.take care sweet dreams....u and me...ummifying...bye."
0,U r too much close to my heart. If u go away i will be shattered. Plz stay with me.
0,Wait  &lt;#&gt;  min..
0,Can you call me plz. Your number shows out of coveragd area. I have urgnt call in vasai &amp; have to reach before 4'o clock so call me plz
0,MAYBE IF YOU WOKE UP BEFORE FUCKING 3 THIS WOULDN'T BE A PROBLEM.
0,Oi. Ami parchi na re. Kicchu kaaj korte iccha korche na. Phone ta tul na. Plz. Plz.
0,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da."
0,Let me know how it changes in the next 6hrs. It can even be appendix but you are out of that age range. However its not impossible. So just chill and let me know in 6hrs
0,I HAVE A DATE ON SUNDAY WITH WILL!!
0,Sorry about that this is my mates phone and i didnt write it love Kate
0,No:-)i got rumour that you going to buy apartment in chennai:-)
0,"Hmm well, night night "
0,"Storming msg: Wen u lift d phne, u say \HELLO\"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? \""Margaret Hello\"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person"
0,I got a call from a landline number. . . I am asked to come to anna nagar . . . I will go in the afternoon
0,"The sign of maturity is not when we start saying big things.. But actually it is, when we start understanding small things... *HAVE A NICE EVENING* BSLVYL"
0,Sorry i now then c ur msg... Yar lor so poor thing... But only 4 one night... Tmr u'll have a brand new room 2 sleep in...
0,Aiyah e rain like quite big leh. If drizzling i can at least run home.
0,"Haha... Where got so fast lose weight, thk muz go 4 a month den got effect... Gee,later we go aust put bk e weight."
0,"Well, I have to leave for my class babe ... You never came back to me ... :-( ... Hope you have a nice sleep, my love"
0,Convey my regards to him
0,Another month. I need chocolate weed and alcohol.
0,"My fri ah... Okie lor,goin 4 my drivin den go shoppin after tt..."
0,I AM AT A PARTY WITH ALEX NICHOLS
0,"My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!"
0,Yes there were many sweets
0,As in different styles?
0,No need lar i go engin? Cos my sis at arts today...
0,I'm going 2 orchard now laready me reaching soon. U reaching?
0,Lol for real. She told my dad I have cancer
0,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? 
0,Yes. Nigh you cant aha.
0,K..k..i'm also fine:)when will you complete the course?
0,"Hey chief, can you give me a bell when you get this. Need to talk to you about this royal visit on the 1st june. "
0,What * u wearing?
0,Hahaha..use your brain dear
0,Yes:)sura in sun tv.:)lol.
0,Were trying to find a Chinese food place around here
0,You didn't have to tell me that...now i'm thinking. Plus he's going to stop all your runs
0,Can you plz tell me the ans. BSLVYL sent via fullonsms.com
0,I'm really sorry I lit your hair on fire
0,"U wake up already? Wat u doing? U picking us up later rite? I'm taking sq825, reaching ard 7 smth 8 like dat. U can check e arrival time. C ya soon..."
0,i am seeking a lady in the street and a freak in the sheets. Is that you?
0,K then 2marrow are you coming to class.
0,Its too late:)but its k.wish you the same.
0,"No, I was trying it all weekend ;V"
0,Oh thats late! Well have a good night and i will give u a call tomorrow. Iam now going to go to sleep night night
0,Let me know when you've got the money so carlos can make the call
0,Ok.
0,here is my new address -apples&pairs&all that malarky
0,Is there any training tomorrow?
0,Jus finish bathing...
0,I dont want to hear philosophy. Just say what happen
0,Oh did you charge camera
0,"They can try! They can get lost, in fact. Tee hee"
0,Cuz ibored. And don wanna study
0,Where's mummy's boy ? Is he being good or bad ? Is he being positive or negative ? Why is mummy being made to wait? Hmmmm?
0,WHITE FUDGE OREOS ARE IN STORES
0,"How about clothes, jewelry, and trips?"
0,Try to do something dear. You read something for exams
0,Get ready for  &lt;#&gt;  inches of pleasure...
0,"Sir, i am waiting for your call, once free please call me."
0,Well welp is sort of a semiobscure internet thing
0,Hey come online! Use msn... We are all there
0,Its a part of checking IQ
0,I love u 2 my little pocy bell I am sorry but I love u
0,When are you guys leaving?
0,My love ... I hope your not doing anything drastic. Don't you dare sell your pc or your phone ...
0,WHO ARE YOU SEEING?
0,Jokin only lar... :-) depends on which phone my father can get lor...
0,Webpage s not available!
0,We are pleased to inform that your application for Airtel Broadband is processed successfully. Your installation will happen within 3 days.
0,"I think your mentor is , but not 100 percent sure."
0,Oh wow thats gay. Will firmware update help
0,Whos this am in class:-)
0,NEFT Transaction with reference number  &lt;#&gt;  for Rs. &lt;DECIMAL&gt;  has been credited to the beneficiary account on  &lt;#&gt;  at  &lt;TIME&gt; : &lt;#&gt;
0,Wife.how she knew the time of murder exactly
0,Two teams waiting for some players
0,No no. I will check all rooms befor activities
0,Shuhui say change 2 suntec steamboat? U noe where? Where r u now?
0,Very hurting n meaningful lines ever: \I compromised everything for my love
0,Do have a nice day today. I love you so dearly.
0,hows my favourite person today? r u workin hard? couldn't sleep again last nite nearly rang u at 4.30
0,"Hi hope u get this txt~journey hasnt been gd,now about 50 mins late I think."
0,Oh yah... We never cancel leh... Haha 
0,Guessin you ain't gonna be here before 9?
0,Good morning princess! Have a great day!
0,"Haha, that was the first person I was gonna ask"
0,I have printed it oh. So  &lt;#&gt;  come upstairs
0,"Yeah there's barely enough room for the two of us, x has too many fucking shoes. Sorry man, see you later"
0,You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.
0,Of cos can lar i'm not so ba dao ok... 1 pm lor... Y u never ask where we go ah... I said u would ask on fri but he said u will ask today...
0,Also hi wesley how've you been
0,You best watch what you say cause I get drunk as a motherfucker
0,Pls give her prometazine syrup. 5mls then  &lt;#&gt; mins later feed.
0,The beauty of life is in next second.. which hides thousands of secrets. I wish every second will be wonderful in ur life...!! gud n8
0,Thats cool! Sometimes slow and gentle. Sonetimes rough and hard :)
0,Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com
0,Watching telugu movie..wat abt u?
0,Thank you baby! I cant wait to taste the real thing...
0,IM GONNAMISSU SO MUCH!!I WOULD SAY IL SEND U A POSTCARD BUTTHERES ABOUTAS MUCH CHANCE OF MEREMEMBERIN ASTHERE IS OFSI NOT BREAKIN HIS CONTRACT!! LUV Yaxx
0,"Forgot it takes me 3 years to shower, sorry. Where you at/your phone dead yet?"
0,"Also north carolina and texas atm, you would just go to the gre site and pay for the test results to be sent."
0,Yar... I tot u knew dis would happen long ago already.
0,"Well am officially in a philosophical hole, so if u wanna call am at home ready to be saved!"
0,I realise you are a busy guy and i'm trying not to be a bother. I have to get some exams outta the way and then try the cars. Do have a gr8 day
0,Bring it if you got it
0,I know she called me
0,"Dizzamn, aight I'll ask my suitemates when I get back"
0,K:)k:)good:)study well.
0,I cant pick the phone right now. Pls send a message
0,"Science tells that chocolate will melt under the sunlight. Please don't walk under the sunlight. BCoz,I don't want to loss a sweet friend."
0,"Sorry, I'll call later  &lt;#&gt; mins"
0,Doing project w frens lor. 
0,"Love isn't a decision, it's a feeling. If we could decide who to love, then, life would be much simpler, but then less magical"
0,Oooh bed ridden ey? What are YOU thinking of?
0,Oh... Lk tt den we take e one tt ends at cine lor... Dun wan yogasana oso can... 
0,Y?WHERE U AT DOGBREATH? ITS JUST SOUNDING LIKE JAN C THATåÕS AL!!!!!!!!!
0,Ok... U enjoy ur shows...
0,"Hello my boytoy ... Geeee I miss you already and I just woke up. I wish you were here in bed with me, cuddling me. I love you ..."
0,Minimum walk is 3miles a day.
0,I don't run away frm u... I walk slowly &amp; it kills me that u don't care enough to stop me...
0,"Yo, the game almost over? Want to go to walmart soon"
0,"Bill, as in: Are there any letters for me. i‰Ûªm expecting one from orange that isn‰Ûªt a bill but may still say orange on it."
0,I dont know oh. Hopefully this month.
0,"Sorry, I'll call later"
0,Mum not going robinson already.
0,Huh so slow i tot u reach long ago liao... U 2 more days only i 4 more leh...
0,Just sleeping..and surfing
0,Try neva mate!!
0,A lot of this sickness thing going round. Take it easy. Hope u feel better soon. Lol
0,"What do u reckon as need 2 arrange transport if u can't do it, thanks"
0,Dear good morning how you feeling dear
0,What's ur pin?
0,Its on in engalnd! But telly has decided it won't let me watch it and mia and elliot were kissing! Damn it!
0,Thanks love. But am i doing torch or bold.
0,See? I thought it all through
0,Finish liao... U?
0,K:)k:)what are detail you want to transfer?acc no enough?
0,PS U no ur a grown up now right?
0,I'm going 4 lunch now wif my family then aft dat i go str 2 orchard lor.
0,Miss call miss call khelate kintu opponenter miss call dhorte lage. Thats d rule. One with great phone receiving quality wins.
0,Happy birthday... May all ur dreams come true...
0,So do you have samus shoulders yet
0,Dude just saw a parked car with its sunroof popped up. Sux
0,My slave! I want you to take 2 or 3 pictures of yourself today in bright light on your cell phone! Bright light!
0,Jus came back fr lunch wif my sis only. U leh?
0,One small prestige problem now.
0,"Aight, let me know when you're gonna be around usf"
0,They have a thread on the wishlist section of the forums where ppl post nitro requests. Start from the last page and collect from the bottom up.
0,"Usf I guess, might as well take 1 car"
